name,singer,cover,url,lyric,singer_id,song_id
Titanic x My Heart Will Go On (Summer Version),LABACK,http://p1.music.126.net/c3DlJEli1cJbnBXJMAcFjg==/109951169709426792.jpg?param=130y130,https://music.163.com/song?id=2600120198,暂时无歌词,50428430,2600120198
Tek It (Sped up),World Wide Songs,http://p2.music.126.net/sDA0XHUmO4_h_Tm-VMwIqQ==/109951168945977823.jpg?param=130y130,https://music.163.com/song?id=2085977468,"[by:慕御city]
Where did you learn what it means to reciprocate?
And how much can I be expected to tolerate?
So I started to think about the plans I made, the debt unpaid
And you just can't call a spade a spade
I watch the moon
let it run my mood
Can't stop thinking of you
I watch you (And I watch as things play out like)
So long nice to know you, I'll be moving on
We started off in such a nice place
We were talking the same language
l open, and I'm closing
You can't stand the thought
Of a real beating heart, you'd be holding
Having trouble, uh-oh, owning
And admit that I am hoping
I watch the moon
let it run my mood
Can't stop thinking of you
I watch you (And I watch as things play out like)
So long nice to know you
I'll be moving on
Moving on
You, yeah I always know the truth
But I can't just say it to you
Yeah. I know the truth
I knew, yeah I always knew the truth
But I can't just say it to you
Yeah. I know the truth
I never thought we'd see it through
I never could rely on you
And a few times your face came
Into view
Into view
I'm not into you
into view",58577281,2085977468
是想你的声音啊（说唱版）,制造热搜,http://p2.music.126.net/Os2563_tbNGczFX48rxLag==/109951169660529805.jpg?param=130y130,https://music.163.com/song?id=1492023926,"词：果妹（小雨滴）/Aioz
曲：果妹（小雨滴）/Aioz
编曲：田宸光
制作人：李永江/果妹
和声：果妹/傲七爷
混音：任天宇
制作统筹：田宸光
果妹：
你快听 滴答滴 滴答滴 滴答滴 是雨滴的声音
你快听 是我在 是我在 是我在哼你最爱听的旋律
你快听 滴答滴 滴答滴 滴答滴 窗外正在下雨
难道这 不是你最爱的天气
Aioz：
随这种感觉走
想起了那温柔
已不想再回头
记忆要靠拼凑
曾经的心掏空给你
现在已经冷冰冰
你的微信早已删掉
语音我不会再听
雨落下的那个夜晚
我还傻傻呆在了原地
放不下的某种牵绊
那种声音还会响起
我不愿再听 你的声音
牵动着我的每根神经
想起曾经 那种生活
不复存在 像在梦里
对你的思念 它全放下
躲藏的思念 它在放大
想你的夜晚 看雨滴落下
许下的承诺 只能全作罢
每晚都循环着 想你声音
离别的时间倒数着 快要登机
祈祷会有你在 多想会有你在
到底要我如何删减掉我的真心
傲七爷：
你快听 滴答滴 滴答滴 滴答滴 是雨滴的声音
你快听 是我在 是我在 是我在哼你最爱听的旋律
你快听 滴答滴 滴答滴 滴答滴 窗外正在下雨
难道这 不是你最爱的天气
果妹：
窗外正在下雨
气氛正在累积
我却不知道此刻的你正在谁怀里
看不透你眼睛
藏起来的秘密
想要知道你离开又该如何前行
而我在想你
多希望此时此刻 你就在我附近
电闪又雷鸣
让我不得不再次又想起了你（oh my love）
看玻璃窗上的雾气
连笑容都显得负力
幻想你能在我附近
我的心生人都勿进
哼唱着那首你最爱的melody
现在又能再唱给谁听
就算我用尽了全力
最后我想你快听
傲七爷：
你快听 滴答滴 滴答滴 滴答滴 是雨滴的声音
你快听 是我在 是我在 是我在哼你最爱听的旋律
你快听 滴答滴 滴答滴 滴答滴 窗外正在下雨
难道这 不是你最爱的天气
",37255369,1492023926
Just Friends,Hayden James,http://p2.music.126.net/cy9053J3FGAd9oK6ssZyUg==/109951164430291856.jpg?param=130y130,https://music.163.com/song?id=1397248051,"[by:aangsou]
When it's late at night
Do you recall that night?
'cause I think about it sometimes
I'm just lying, it's all the time, babe.

I found out the way to your heart
And found myself completely lost
Whatever, it doesn't matter, we fine
I don't need to label how we good time
And we don't need to tell nobody we ride
'cause fuck it, we're young, it's just fun.

It started off just a touch innocent
Like friends, like friends, yeah
Wake up here, tired, horizontal
We just friends, just friends
Maybe one drink, nothing too far gone (too far)
Is it the stars saying fall in love, no
We don't say much as we lay here
We just friends, just friends.

When you say my name
So casual touch, my hand
I stop and play it cool
Like I'm not into you
But I'm just lying
You drive me wild and say.

I found out the way to your heart
And found myself completely lost
Whatever, it doesn't matter, we fine
I don't need to label how we good time
And we don't need to tell nobody we ride
'cause fuck it, we're young, it's just fun.

It started off just a touch innocent
Like friends, like friends, yeah
Wake up here, tired, horizontal
We just friends, just friends
Maybe one drink, nothing too far gone (too far)
Is it the stars saying fall in love, no
We don't say much as we lay here
We just friends, just friends.

I found out the way to your heart
And found myself completely lost
Whatever, it doesn't matter, we fine
I don't need to label how we good time
And we don't need to tell nobody we ride
'cause fuck it, we're young, it's just fun.

It started off just a touch innocent
Like friends, like friends, yeah
Wake up here, tired, horizontal
We just friends, just friends
Maybe one drink, nothing too far gone (too far)
Is it the stars saying fall in love, no
We don't say much as we lay here
We just friends, just friends.",787102,1397248051
Fortnight (Acoustic Version),Taylor Swift,http://p2.music.126.net/VfcVFMkzWPe2izZcbLc3Pg==/109951169764175102.jpg?param=130y130,https://music.163.com/song?id=2606242589,暂时无歌词,44266,2606242589
酸菜牛肉面,鼠尾草,http://p1.music.126.net/RxIjqGELE6r-78jO2FUWeQ==/109951169763834013.jpg?param=130y130,https://music.163.com/song?id=2605881104," EINK：
从小没品味的我穿着总是像个古董
没人读懂
情绪随着引力浮动
你的现实饱满但是我的理想浮肿
尽管这一切的一切总是违背初衷
你总与众不同
我只是有点普通
我想这种自卑的感觉你根本不懂
因为有人在摸爬滚打
有人明码标价速通
想回到戴着盗版的 Beats听说唱的初中
我逐渐无动于衷
随时间变得虚荣
主角的 DLC是否要用 NPC补充
我知道漫漫长夜的意义是承接黎明
平凡的我能否让故乡人杰地灵？
毕竟你总被同学包围
我的成绩稳定倒退
家里的无线网报废因为月初忘了缴费
文化课一般
运动神经不够我进校队
直到我接触 hip hop明白活着并不冒昧
鼠尾草：
妈妈担心我会
 Kill my self
冬天的雨点敲在身上
 That my self
躲在易佰酒店轻轻
 Yo chick it yo
仿佛有火把取暖哼着
 Yo check yo
爸爸总是担心我会
 Kill my self
帮我投了无数履历
 Kill my self
酸菜牛肉面店哼着
 Yo check it yo
明天我会饿死但没
 Lose my self
我是个废物
从毕业就不太合群跟不上每个队伍
每天拖拉
被别人落下
直到作罢
没有他妈的梦想
看看镜子里的穷样
我只在乎汽水瓶盖是否能中奖
衬衫和外套
包裹着我的衣柜录音室让邻居听我怪叫
浪费着时间
还好我没空间可以浪费
在连锁酒店
床板像个棺材板
我换着台儿
钱包精选挑出房租400块
但房间还是留不住我
我往街上面跑
醉倒在灌木丛里
把鞋扔进下了水道里
火焰在我眼球里面跳舞
雨滴为我的 solo敲鼓
捡了一只和我一样旧的猫叫老虎
 Ican't save me
我躺在废墟里面看着漫天飞絮
女孩在我的回忆里
看着她骑自行车往远处的雾里飞驶
我想伸手却抓到了路边飞的废纸
妈妈担心我会
 Kill my self
冬天的雨点敲在身上
 That my self
躲在易佰酒店轻轻
 Yo chick it yo
仿佛有火把取暖哼着
 Yo check yo
爸爸总是担心我会
 Kill my self
帮我投了无数履历
 Kill my self
酸菜牛肉面店哼着
 Yo check it yo
明天我会饿死但没
 Lose my self
 DANNY K：
我终于有时间可以坐在录音棚里
比赛结束后花了两天把心情整理
一步步从草原迈向了城里
但是每一次跌落我的兄弟都会把我捧起
我们都是主角同时也都是 NPC
生活让我改掉了以前的坏脾气
跟命运掰手腕这次我来比一比
冲出这个困境那我们都是 eazy e
奶奶在问我有没有找到稳定的工作
17岁就找到 hip hop当时工资没给我
慢慢开始讨债从红灯变现在的通过
我不会放开手我必须得要 catch‘‘ em all
一路陪着我的人消失在了哪里
你们都很绚烂只是没赶上你的花期
 I rap for the fame I rap for the money
同时 I rap for myself I rap for my阿里
鼠尾草：
妈妈非常担心我会
 Kill my self
冬天的雨点敲在身上
 That my self
躲在易佰酒店轻轻
 Yo chick it yo
仿佛有火把取暖哼着
 Yo check yo
爸爸总是担心我会
 Kill my self
帮我投了无数履历
 Kill my self
酸菜牛肉面店哼着
 Yo check it yo
明天我会饿死但没
 Lose my self",59528211,2605881104
与我无关（开始的倾心交谈）,阿冗,http://p1.music.126.net/F-nsdoGZXWDPZIzuQ3s19Q==/109951168853127219.jpg?param=130y130,https://music.163.com/song?id=2074765200,"过往早已变得平淡，甚至开始自我调侃
偶尔心头一酸，掀起一些波澜
雨天撑着的双人伞，路过最爱那家餐馆
戒一半的习惯，没庆祝的圣诞
应该嘘寒问暖还是绝口不谈
那些遗憾留在心底成为旧患
开始的倾心交谈沦为平淡
望眼欲穿等不到你的晚安
全都与我无关
反正我早已习惯一个人孤单
心酸为难也要假装自然
惨淡或灿烂全与我无关
反正我早习惯你已不在
一个人的空白假装释怀
自我感动是病态
我回头看是阴霾
不想要你理睬变成阻碍
我早习惯你已不在
一个人的空白假装释怀
开始的倾心交谈沦为平淡
望眼欲穿等不到你的晚安
全都与我无关
反正我早已习惯一个人孤单
心酸为难也要假装自然
惨淡或灿烂全与我无关
开始的倾心交谈沦为平淡
望眼欲穿等不到你的晚安
全都与我无关
反正我早已习惯一个人孤单
心酸为难也要假装自然
惨淡或灿烂全与我无关",30116848,2074765200
はいよろこんで,こっちのけんと,http://p1.music.126.net/_cqLAaqEBJnR_stKbnuE5g==/109951169575235469.jpg?param=130y130,https://music.163.com/song?id=2154219378,"[by:Megalo_PaleWhite]
『この世界に生きるすべてのいきづらい』

『はい喜んで』
『あなた方のため』
『はい謹んで』
『あなた方のため...に』

差し伸びてきた手
さながら正義仕立て
嫌嫌で生き延びて
わからずやに盾
『はい喜んで　あなた方のために』
『出来ることなら　出来るとこまで』

後一歩を踏み出して
嫌なこと思い出して
奈落音頭奏でろ
『・・・』
もう一歩を踏み出して
嫌なこと思い出して
鳴らせ君の3~6マス
『・・・ーーー・・・』

ギリギリダンス　ギリギリダンス
(踊れ)
ギリギリダンス　ギリギリダンス
(もっと鳴らせ)
ギリギリダンス　ギリギリダンス
(踊れ)
ギリギリダンス　ギリギリダンス
(もっと鳴らせ)

慣らせ君の病の町を
隠せ笑える他人のオピニオン
うっちゃれ正義の超人たちを
鳴らせ君の3~6マス
『・・・ーーー・・・』

怒り抱いても
優しさが勝つあなたの
欠けたとこが希望
(Save this game, Mr.A)
救われたのは僕のうち1人で

後一歩を踏み出して
嫌なこと思い出して
奈落音頭奏でろ
『・・・』
もう一歩を踏み出して
嫌なこと思い出して
鳴らせ君の3~6マス
分かれ道思うがままGo to Earth
任せたきりワがママ言葉
さぁ奏でろハクナマタタ! の音は
『・・・ーーー・・・』

ギリギリダンス　ギリギリダンス
(踊れ)
ギリギリダンス　ギリギリダンス
(もっと鳴らせ)
ギリギリダンス　ギリギリダンス
(踊れ)
ギリギリダンス　ギリギリダンス
(もっと鳴らせ)

慣らせ君の病の町を
隠せ笑える他人のオピニオン
うっちゃれ正義の超人たちを
鳴らせ君の3~6マス
『・・・ーーー・・・』

(『はい喜んで　あなた方のために』)
(『出来ることなら　出来るとこまで』)
(『はい謹んで　あなた方のために』)
鳴らせ! 君の3~6マス!
『・・・ーーー・・・』",53715001,2154219378
Faded Light,合法飞行,http://p1.music.126.net/7_2sTKSbPS1yVrMQ2G5_Cw==/109951168914486544.jpg?param=130y130,https://music.163.com/song?id=2156452286,暂时无歌词,37123717,2156452286
Dare To Love Dare To Do,Yao Si Ting,http://p1.music.126.net/-GcFxfSOVSWgoYyVR5e81Q==/109951169324179106.jpg?param=130y130,https://music.163.com/song?id=2125241978,"[by:梦都_jpg]
作词：Yao Si Ting
街边焦急等待的我
餐厅抑郁的你
隔片沙玻璃 两眼带些伤悲
交通灯边的我
紧抱深爱的你
听呼吸声确已急速到死
冷雨扑向我 点点纷飞
千度高温波涛由你涌起
个个说我太狂 笑我不羁
敢于交出真情哪算可鄙
狂抱拥 不需休息的吻
不需呼吸空气
不需街边观众远离
微雨中 身边车辆飞过
街里路人走过
交通灯催促过
剩下独是我跟你
收紧一双手臂
箍紧身边的你
透过湿恤衫 贴向你的肤肌
身边多少指责 都已一概不理
爱得真心我俩应该吻死
冷雨扑向我 点点纷飞
千度高温波涛由你涌起
个个说我太狂笑我不羁
敢于交出真情哪算可鄙
狂抱拥 不需休息的吻
不需呼吸空气
不需街边观众远离
微雨中 街边车辆飞过
街里路人走过
交通灯催促过
剩下的独时我跟你
就让宇宙塌下
世界变了荒地
日月碎做陨石
我俩也吻着到每个世纪
狂抱拥 不需休息的吻
不需呼吸空气
不需街边观众远离
微雨中 身边车辆飞过
街里路人走过
交通灯催促过
剩下独是我跟你
不需休息的吻
不需呼吸空气
不需街边观众远离
微雨中 身边车辆飞过
街里路人走过
交通灯催促过
剩下独是我更你
",59644984,2125241978
